model,avg_throughput_change_pct,avg_loss_change_pp,avg_rl_throughput_kbps,avg_paper_throughput_kbps
out_1.0,-0.6947603583943253,-31.025414426570762,504.9049,507.0412666666667
out_1.1_tuning_g00_a020_e025,-0.8180546872471245,-32.43529962324397,503.4261000000001,507.0412666666667
out_1.1_tuning_g02_a020_e020,-1.0243479079543067,-31.668989731973596,503.0559,507.0412666666667
out_1.1_tuning_g04_a015_e015,-1.657286282915435,-30.40969514812885,498.73423333333335,507.0412666666667
out_compact_state,-16.31631611365711,-38.569187089222815,435.7455333333333,507.0412666666667
out_1.1_tuning_g06_a010_e010,-21.705235189976317,-26.83952106388787,369.57123333333334,507.0412666666667
out_1.1_tuning_g08_a010_e005,-25.902821006080895,-18.947601927567685,357.6033666666667,507.0412666666667
