policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,4000,775.4431999999999,0.3014026483959192,0.0,3877216.0,5550001.0
paper,4000,765.528,0.20708667680895704,0.0,3827640.0,4827312.0
