policy,steps,avg_reward,total_reward,delivered_bytes_total,attempted_bytes_total,delivery_ratio,hold_frac,transmit_frac,agg_decisions_frac,messages_sent,messages_potential,aggregation_ratio,total_energy_cost,energy_efficiency,deadline_bonus_avg
q,5000,1.3236411376422363,6618.205688211182,4902341.0,7494527.0,0.6541228018792914,0.002,0.998,0.6452905811623246,4748.0,21614.0,0.780327565466827,68.60505400000108,71457.43227605248,0.21718260697768987
paper,5000,1.1897313015541364,5948.656507770682,4748229.0,5999032.0,0.7914991952034929,0.2154,0.7846,0.0,3923.0,21614.0,0.8184972702877764,53.38206400000122,88948.02194234924,0.0025661952103819617
