policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,479.38329999999996,0.21857575661747902,0.0075,4793833.0,6134738.0
paper,8000,759.0062,0.21536195036889574,0.0075,7590062.0,9673329.0
