policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,300.7097,0.2604655989875567,0.7755,3007097.0,4066203.0
paper,8000,305.38739999999996,0.8009658572625172,0.7755,3053874.0,15343468.0
