policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,453.0094,0.2552335608139323,0.5515,4530094.0,6082570.0
paper,8000,456.73019999999997,0.6397476775633882,0.5515,4567302.0,12678064.0
