policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,760.9956,0.2096138925961893,0.0075,7609956.0,9628150.0
paper,8000,759.0062,0.21536195036889574,0.0075,7590062.0,9673329.0
