scenario,policy,avg_reward,throughput_pkts_per_step,lost_pkts_per_step,send_pkts_per_step,throughput_gain_pct_vs_fcfs,loss_reduction_pct_vs_fcfs
baseline,FCFS,1.069629063312737,0.6478437580093913,0.14315624199060822,0.791,0.0,0.0
baseline,Proposed,1.1814442712105608,0.6717972520769897,0.23720274792301124,0.909,3.6974183622914762,-65.69500891101413
energy,FCFS,1.1062631346908474,0.8133042498813068,0.18669575011869305,1.0,0.0,0.0
energy,Proposed,1.154325203971861,0.8614934962346014,0.2901731704320657,1.1516666666666666,5.925119210962846,-55.42569675398942
highcong,FCFS,-0.7816730937315576,0.5411878329523265,0.45881216704767347,1.0,0.0,0.0
highcong,Proposed,-0.5304257471877558,0.5781518626184978,0.2341814707148365,0.8123333333333334,6.830166425679321,48.959184709130966
weak_link,FCFS,-5.392684911866906,0.0,0.9976666666666667,0.9976666666666667,0.0,0.0
weak_link,Proposed,-5.273129999999997,0.0,0.0,0.0,0.0,100.0
