policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,250.7575,0.10604820956526544,0.7755,2507575.0,2805045.0
paper,8000,305.38739999999996,0.8009658572625172,0.7755,3053874.0,15343468.0
