policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,443.0559,0.2738300386640814,0.5515,4430559.0,6101270.0
paper,8000,456.73019999999997,0.6397476775633882,0.5515,4567302.0,12678064.0
