scenario,rl_throughput_kbps,paper_throughput_kbps,throughput_change_pct,rl_packet_loss_ratio,paper_packet_loss_ratio,loss_change_pp
baseline_balanced,760.9956,759.0062,0.2621058958411581,0.2096138925961893,0.2153619503688957,-0.57480577727064
energy_constrained,453.0094,456.7302,-0.8146603837451514,0.2552335608139323,0.6397476775633882,-38.4514116749456
high_congestion,300.7097,305.3874,-1.5317265872789825,0.2604655989875567,0.8009658572625172,-54.05002582749605
