policy,steps,throughput_kbps,packet_loss_ratio,avg_input_packet_loss_rate,delivered_bytes_total,attempted_bytes_total
q,8000,298.799,0.2657716488125881,0.7755,2987990.0,4069565.0
paper,8000,305.38739999999996,0.8009658572625172,0.7755,3053874.0,15343468.0
